Item_ID	Sentence	PP1	PP1Length	PP2	PP2Length	PNP1cat	PNP2cat	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
23:106	well, i had an occasion for my mother-in-law who *t*-1 had fell and needed * to be, you know, could not take care of herself anymore, was confined *-2 to a nursing home for a while	to a nursing home	4	for a while	3	fullnp	fullnp	1133	 "MALE"	 1935	 "SOUTH MIDLAND"	 2	 "GIFT"	8	10	B	2005	305	"CARE OF THE ELDERLY"	4	1	2
193:23	but as it turned out the stroke took care of that concern for us.	of that concern	3	for us	2	fullnp	pronoun	1133	 "MALE"	 1935	 "SOUTH MIDLAND"	 2	 "GIFT"	80	108	B	2005	305	"CARE OF THE ELDERLY"	4	1	2
732:12	anyway, it's on from seven to nine, or something.	from seven	2	to nine	2	fullnp	fullnp	1039	 "MALE"	 1943	 "SOUTHERN"	 3	 "GIFT"	45	81	A	2010	348	"MOVIES"	1	1	1
956:13	i don't, have a sense of threat *ich*-1 in general from those sorts of things,	in general	2	from those sorts of things	5			1119	 "MALE"	 1946	 "MIXED"	 3	 "CASH"	36	61	B	2012	336	"RIGHT TO PRIVACY"	2	2	2
1202:79	but if they're going *-1 to offer these services, or these recorded message, everything, they ought *-2 to be stuck *-3 * working with the phone book like everybody else instead of using a computer *-4 to go through and just go down every sequence of numbers for this certain area code and call them.	with the phone book	4	like everybody else	3	fullnp	fullnp	1112	 "FEMALE"	 1956	 "SOUTHERN"	 3	 "CASH"	16	41	B	2015	336	"RIGHT TO PRIVACY"	1	1	1
1212:6	i agree with you on that particular subject there.	with you	2	on that particular subject	4	pronoun		1112	 "FEMALE"	 1956	 "SOUTHERN"	 3	 "CASH"	16	50	B	2015	336	"RIGHT TO PRIVACY"	1	1	1
1314:64	but we got uh, we got to * talking about the, uh, uh, people coming to you at the front door.	to you	2	at the front door	4	pronoun		1122	 "MALE"	 1964	 "SOUTH MIDLAND"	 9	 "GIFT"	31	138	A	2015	336	"RIGHT TO PRIVACY"	1	1	1
1499:23	and, and she kept in touch like that, and basically, just worked out of her house.	in touch	2	like that	2	fullnp	fullnp	1044	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 1	 "GIFT"	61	102	B	2018	329	"WOMEN'S ROLES"	2	1	1
2067:56	and then basically since then what i've done *t*-1 is, is * keep track of it through the checkbook	of it	2	through the checkbook	3	pronoun		1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	3	8	A	2022	357	"FAMILY FINANCE"	1	1	1
2071:8	so i take half of that amount out of my checkbook each, with each paycheck, even thought it's really still there, so that i can keep, uh, uh, good balance, a running total, yeah through the month,	out of my checkbook	4	with each paycheck	3			1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	3	12	A	2022	357	"FAMILY FINANCE"	1	1	1
2187:33	when ever we get enough saved * *t*-1 we stick it in a c d for a while	in a c d	4	for a while	3	fullnp	fullnp	1107	 "FEMALE"	 1961	 "WESTERN"	 2	 "GIFT"	44	87	B	2022	357	"FAMILY FINANCE"	1	1	1
2311:59	and, and the last book, uh, matter of fact 0 i read *t*-1 was, at america's service by carl albrecht.	at america's service	4	by carl albrecht	3	fullnp	fullnp	1061	 "MALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	22	45	B	2024	311	"BOOKS AND LITERATURE"	1	1	1
2326:46	um, every now and then i'm loaned *-3 a tape 0 i can stick *t*-1 in the, uh, in the car cassette set on the way home * to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which *t*-2 all, you know, betters yourself.	in the car cassette set	5	on the way home	4	fullnp	fullnp	1016	 "FEMALE"	 1945	 "SOUTHERN"	 2	 "GIFT"	27	54	A	2024	311	"BOOKS AND LITERATURE"	1	1	1
2467:21	i kind of try *-1 to judge from day to day.	from day	2	to day	2	fullnp	fullnp	1096	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	7	25	A	2027	303	"CLOTHING AND DRESS"	1	1	1
2479:70	and it's just mumblex, it *exp*-1's just impossible * to crawl down on the floor and dig through boxes in a dress.	through boxes	2	in a dress	3	fullnp	fullnp	1035	 "FEMALE"	 1953	 "NORTH MIDLAND"	 2	 "GIFT"	10	34	B	2027	303	"CLOTHING AND DRESS"	1	1	1
2837:11	so. * had a lot of people out at work, you know, for fishing, and, and uh, and golfing, reasons and things like that.	at work	2	for fishing, and, and uh, and golfing, reasons and things like that	12	fullnp	fullnp	1101	 "MALE"	 1939	 "SOUTH MIDLAND"	 3	 "GIFT"	18	33	B	2028	313	"WEATHER CLIMATE"	2	4	2
2909:34	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	in dallas	2	for three years	3	fullnp	fullnp	1086	 "FEMALE"	 1965	 "SOUTHERN"	 2	 "CASH"	51	74	A	2028	313	"WEATHER CLIMATE"	2	4	2
2936:35	oh, rea-, where *ich*-2 did you go to school in indiana *t*-1?	to school	2	in indiana	2	fullnp	fullnp	1086	 "FEMALE"	 1965	 "SOUTHERN"	 2	 "CASH"	61	89	A	2028	313	"WEATHER CLIMATE"	2	4	2
2960:9	and we lived in, uh, south bend for eighty, eight years, and, uh, then moved to, uh, tennessee actually.	in, uh, south bend	4	for eighty, eight years	4	fullnp	fullnp	1086	 "FEMALE"	 1965	 "SOUTHERN"	 2	 "CASH"	73	103	A	2028	313	"WEATHER CLIMATE"	2	4	2
3367:6	they came up with some pretty weird stuff after that.	with some pretty weird stuff	5	after that	2	fullnp	fullnp	1167	 "MALE"	 1969	 "NORTHERN"	 3	 "CASH"	75	139	A	2032	308	"MUSIC"	3	2	2
4727:42	and you know, what *t*-1 frightens me, is that, you put a half a million people *ich*-2 out in the middle of the desert with high tech weaponry, you know,	out in the middle of the desert	7	with high tech weaponry	4			1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	15	21	A	2051	312	"CRIME"	1	1	1
567:29	needless * to say, my sweaters have been hung *-1 in the closet for quite a while now.	in the closet	3	for quite a while	4	fullnp	fullnp	1176	 "FEMALE"	 1959	 "MIXED"	 2	 "CASH"	69	107	A	2008	303	"CLOTHING AND DRESS"	1	1	3
638:11	well, i lived in omaha for five, winters,	in omaha	2	for five, winters	3	fullnp	fullnp	1039	 "MALE"	 1943	 "SOUTHERN"	 3	 "GIFT"	11	21	A	2010	348	"MOVIES"	1	1	1
677:27	although, i must admit 0 i did look at my watch after about an hour.	at my watch	3	after about an hour	4	fullnp	fullnp	1039	 "MALE"	 1943	 "SOUTHERN"	 3	 "GIFT"	27	44	A	2010	348	"MOVIES"	1	1	1
1434:20	i mean people will just look at you as a person and not as a man or a woman,	at you	2	as a person and not as a man or a woman	11	pronoun		1044	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 1	 "GIFT"	37	61	B	2018	329	"WOMEN'S ROLES"	2	1	1
1583:8	and i look for more of that in the next generation.	for more of that	4	in the next generation	4	fullnp	fullnp	1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	90	157	A	2018	329	"WOMEN'S ROLES"	2	1	1
3486:18	but i bet 0 you were out there with your bell bottomed pants,	out there	2	with your bell bottomed pants	5			1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	114	219	B	2032	308	"MUSIC"	3	2	2
3751:14	and they come, go to church with us	to church	2	with us	2	fullnp	pronoun	1176	 "FEMALE"	 1959	 "MIXED"	 2	 "CASH"	37	63	A	2035	358	"FAMILY LIFE"	1	1	1
4425:53	and, i didn't realize that they ha-, were going *-1 to reach out to people from, all over the country.	out to people	3	from, all over the country	5			1179	 "FEMALE"	 1959	 "SOUTH MIDLAND"	 2	 "GIFT"	66	114	B	2041	356	"EXERCISE AND FITNESS"	3	2	2
4526:22	and others of them, um, had an impact on the society around here.	on the society	3	around here	2	fullnp	fullnp	1110	 "MALE"	 1961	 "WESTERN"	 3	 "CASH"	99	185	A	2041	356	"EXERCISE AND FITNESS"	3	2	2
4794:14	and they're still let *-1 out on the street after one or two years.	out on the street	4	after one or two years	5			1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	43	61	A	2051	312	"CRIME"	1	1	1
4912:11	and then they go back to work on monday.	to work	2	on monday	2	fullnp	fullnp	1051	 "MALE"	 1954	 "SOUTH MIDLAND"	 2	 "CASH"	86	136	B	2051	312	"CRIME"	1	1	1
4926:8	and i worked in a first grade classroom for one full semester	in a first grade classroom	5	for one full semester	4	fullnp	fullnp	1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	91	145	A	2051	312	"CRIME"	1	1	1
5001:18	my wife used *-1 to work for frito lay as a typist.	for frito lay	3	as a typist	3	fullnp	fullnp	1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	117	193	A	2051	312	"CRIME"	1	1	1
5042:21	and he says how do you get that from there to the material *t*-1.	from there	2	to the material	3			1135	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	10	15	B	2053	364	"HOBBIES AND CRAFTS"	2	2	3
5425:34	i find it *exp*-1 hard * to, uh, follow from one page to another.	from one page	3	to another	2	fullnp	fullnp	1152	 "FEMALE"	 1947	 "SOUTH MIDLAND"	 2	 "GIFT"	45	78	A	2060	349	"NEWS MEDIA"	2	2	1
5703:62	i mean, it was like for me, it was like practically impossible * to get between like ninety and, ninety-nine percentile on the, on the verbal part.	between like ninety and, ninety-nine percentile	6	on the verbal part	4	fullnp	fullnp	1167	 "MALE"	 1969	 "NORTHERN"	 3	 "CASH"	63	112	A	2061	304	"CREDIT CARD USE"	4	5	1
6219:129	but, uh, you know, i was just, as a matter of fact, i just, uh, celebrated my fifth year at t i the end of last month and, uh, kind of started *-1 looking through the, the book because of that, you know,	through the, the book	4	because of that	3	fullnp	fullnp	1096	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	12	27	B	2062	345	"JOB BENEFITS"	2	2	1
6241:99	and i suppose 0 if, b-, maybe in, in your instance, if, if you're started *-1 with t i in your early to mid-twenties, and happen *-1 to stay with them until you're sixty-five, then you'll have a very good retirement plan.	with t i	3	in your early to mid-twenties	5	fullnp	fullnp	1096	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	18	43	B	2062	345	"JOB BENEFITS"	2	2	1
6435:48	so you, you can have an extra five days off and be paid *-1 for them at the time, you know,	for them	2	at the time	3	pronoun		1096	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	82	173	B	2062	345	"JOB BENEFITS"	2	2	1
6662:6	he was in c c c during, uh,	in c c c	4	during, uh	2	fullnp	fullnp	1064	 "FEMALE"	 1951	 "NORTHERN"	 9	 "GIFT"	62	101	B	2065	327	"UNIVERSAL PBLIC SERV"	1	3	1
6850:37	and then they, um, you know, go and actually live in that country for the, the, uh,	in that country	3	for the, the, uh	4	fullnp	fullnp	1064	 "FEMALE"	 1951	 "NORTHERN"	 9	 "GIFT"	130	220	B	2065	327	"UNIVERSAL PBLIC SERV"	1	3	1
6923:21	they figure that, if they give you card, at no charge for a whole year that you will use it	at no charge	3	for a whole year	4	fullnp	fullnp	1107	 "FEMALE"	 1961	 "WESTERN"	 2	 "GIFT"	9	15	B	2067	304	"CREDIT CARD USE"	2	3	1
7270:18	especially if your spouse will get in there with you and get dirty,	in there	2	with you	2		pronoun	1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	44	93	B	2072	364	"HOBBIES AND CRAFTS"	2	1	1
